,rng_tp_mean,rng_tp_std,test_tm,deeptune_tp_mean,deeptune_tp_std,deeptune_tm,bayes-opt_tp_mean,bayes-opt_tp_std,bayes-opt_tm
21,11885.8675,17256.365919914388,641.38578080968,7422.109299999999,14014.600458082583,615.1847351610685,11753.9821,16965.168110229577,659.455110548297
22,11933.873599999999,17233.782089084598,670.4643592917389,7420.320799999999,14015.535870304688,644.3834767325316,11753.958599999998,16965.18418952774,689.4103818022675
23,11495.946300000001,16968.40370856974,699.6304049709297,7420.329199999998,14015.533205964064,673.6038773142761,11766.157,16957.29263989989,720.2147677162147
24,11159.5751,16831.080173083217,728.5519743153608,7419.859799999998,14015.777058984708,702.9115801074959,11352.868800000002,16713.439069473003,750.4113481232679
25,11159.413599999998,16831.185700705548,757.5164456227483,7405.8998999999985,14022.461686935607,731.9740467259443,11614.698600000002,16741.34881297866,781.0069641926946
26,10753.7946,16600.729514788523,786.699743836553,7736.8812,14236.441658264068,761.0804636338414,11614.6778,16741.36301606399,811.531882136495
27,11160.0077,16832.25767746804,815.7913581806116,7736.7345,14236.519736618664,790.4049058848929,11260.4112,16578.08689315901,841.9728438335352
28,10846.763099999998,16520.588246139403,845.0254655972208,7737.8645,14235.910381695396,819.6380507427149,10862.4466,16360.386273450527,872.973022808143
29,10671.3244,16295.93178108121,874.1548634248862,7737.8336,14235.92683604826,849.013929714271,10862.457999999999,16360.378805041772,903.3817229944358
30,10672.0272,16295.477373320124,903.3438321425231,7952.5978,14482.173039417088,878.2892583089957,10862.574399999998,16360.302583795223,934.3174222780974
31,11069.9431,16514.427800332393,932.4692884618306,7694.6772,14388.25555516749,907.6230133845122,10436.440499999999,16075.492424747266,964.3798562222981
32,11070.0741,16514.3412919062,961.603975426493,7706.950199999999,14382.361225653733,936.8937896424794,10855.646999999999,16346.003934149257,994.8295530193427
33,11079.633999999998,16508.298447989546,990.7323280554924,8132.1783,14775.803662802578,966.1739961021522,10855.8955,16345.841393670646,1025.4708727580223
34,11079.1662,16508.60816429076,1019.8274045811429,8551.1512,15133.487808768688,995.4488078337822,10827.5564,16361.894843407319,1055.5448954926267
35,11079.418,16508.441751532275,1049.0679142871827,8869.5029,15287.367867731664,1024.690434299542,10402.7778,16056.190202121397,1086.3414917388886
36,11063.571800000002,16518.302000782733,1078.2186473045442,8868.1478,15284.4651401213,1054.0764124790162,10402.778800000002,16056.189554313396,1116.713522735605
37,10864.282100000002,16494.473785557773,1107.4419150169533,8868.2169,15284.425748946454,1083.3743701610658,10400.984800000002,16057.341485362418,1147.0766250904244
38,10507.208600000002,16334.914325862994,1136.698637013839,8452.514799999999,14946.019823019604,1112.7452933605355,10085.8892,15889.898076873096,1177.6767020277246
39,10138.431300000002,16147.081633321586,1165.757537230873,8478.871099999998,14952.100210682102,1142.1484541944726,9719.6093,15661.92480613371,1208.159947261238
40,10022.747500000003,16176.554702729958,1194.7573988236306,8479.101299999998,14951.972349207488,1171.3552049249647,10066.8277,16027.470504372974,1238.7550720967172
41,10446.9936,16486.89636758899,1224.1029388311135,8905.435399999998,15310.030873049041,1200.5050968922494,9814.8488,15982.988297547947,1269.3500029447305
42,10863.9989,16742.820803554216,1253.286539606458,8892.8465,15316.706952851933,1230.0001410844552,9813.134399999999,15984.03136148527,1299.4584823173345
43,10863.636999999999,16743.052036181307,1282.4634236446295,9325.111299999999,15668.675421805807,1259.3329792541326,10191.3255,16193.451964671362,1330.4962722412024
44,10865.226400000001,16742.028332921403,1311.530062342597,9323.7823,15669.460494196846,1288.66296783599,10191.432699999998,16193.385545425876,1361.213857079459
45,10812.9517,16650.93052428879,1340.652276333303,9713.3153,15987.781256284277,1317.878509903861,10614.7997,16508.59372184369,1391.6212332806297
46,10825.7619,16643.24080649275,1369.7091354198171,9810.4032,15957.963768479354,1347.1506910881706,10981.185999999998,16674.72351947312,1421.3228830165579
47,10825.884799999998,16643.162147764917,1398.8275211597147,9374.591499999999,15582.956737624309,1376.358019954653,11429.1101,16972.78079574184,1451.6327076698008
48,10394.380899999998,16351.611760237467,1427.9838339086573,9810.241499999998,15924.87532664607,1405.625385596818,11430.7863,16971.66039344534,1481.8881374593775
49,10380.416799999999,16359.882854376363,1457.2768602339295,9793.080599999998,15922.581505473276,1434.9328416582148,11562.0069,16937.940004380383,1512.736722942975
